Running Time,Self (ms),,Symbol Name
0.2ms    0.0%,0, ,           dyld::loadPhase3(char const*, char const*, dyld::LoadContext const&, std::__1::vector<char const*, std::__1::allocator<char const*> >*)
0.2ms    0.0%,0, ,            dyld::loadPhase4(char const*, char const*, dyld::LoadContext const&, std::__1::vector<char const*, std::__1::allocator<char const*> >*)
0.2ms    0.0%,0, ,             dyld::loadPhase5(char const*, char const*, dyld::LoadContext const&, std::__1::vector<char const*, std::__1::allocator<char const*> >*)
0.2ms    0.0%,0.16, ,              stat64
0.1ms    0.0%,0.08, ,              dyld::findInSharedCacheImage(char const*, bool, stat const*, macho_header const**, char const**, long*)
0.1ms    0.0%,0, ,       ImageLoader::recursiveLoadLibraries(ImageLoader::LinkContext const&, bool, ImageLoader::RPathChain const&)
0.1ms    0.0%,0, ,        ImageLoader::recursiveLoadLibraries(ImageLoader::LinkContext const&, bool, ImageLoader::RPathChain const&)
0.1ms    0.0%,0, ,         ImageLoader::recursiveLoadLibraries(ImageLoader::LinkContext const&, bool, ImageLoader::RPathChain const&)
0.1ms    0.0%,0, ,          ImageLoader::recursiveLoadLibraries(ImageLoader::LinkContext const&, bool, ImageLoader::RPathChain const&)
0.1ms    0.0%,0, ,           ImageLoader::recursiveLoadLibraries(ImageLoader::LinkContext const&, bool, ImageLoader::RPathChain const&)
0.1ms    0.0%,0, ,            ImageLoader::recursiveLoadLibraries(ImageLoader::LinkContext const&, bool, ImageLoader::RPathChain const&)
0.1ms    0.0%,0, ,             ImageLoader::recursiveLoadLibraries(ImageLoader::LinkContext const&, bool, ImageLoader::RPathChain const&)
0.1ms    0.0%,0, ,              ImageLoader::recursiveLoadLibraries(ImageLoader::LinkContext const&, bool, ImageLoader::RPathChain const&)
0.1ms    0.0%,0, ,               ImageLoader::recursiveLoadLibraries(ImageLoader::LinkContext const&, bool, ImageLoader::RPathChain const&)
0.1ms    0.0%,0, ,                dyld::libraryLocator(char const*, bool, char const*, ImageLoader::RPathChain const*)
0.1ms    0.0%,0, ,                 dyld::load(char const*, dyld::LoadContext const&)
0.1ms    0.0%,0, ,                  dyld::loadPhase0(char const*, char const*, dyld::LoadContext const&, std::__1::vector<char const*, std::__1::allocator<char const*> >*)
0.1ms    0.0%,0, ,                   dyld::loadPhase1(char const*, char const*, dyld::LoadContext const&, std::__1::vector<char const*, std::__1::allocator<char const*> >*)
0.1ms    0.0%,0, ,                    dyld::loadPhase3(char const*, char const*, dyld::LoadContext const&, std::__1::vector<char const*, std::__1::allocator<char const*> >*)
0.1ms    0.0%,0, ,                     dyld::loadPhase4(char const*, char const*, dyld::LoadContext const&, std::__1::vector<char const*, std::__1::allocator<char const*> >*)
0.1ms    0.0%,0, ,                      dyld::loadPhase5(char const*, char const*, dyld::LoadContext const&, std::__1::vector<char const*, std::__1::allocator<char const*> >*)
0.0ms    0.0%,0.04, ,                       stat64
0.0ms    0.0%,0.04, ,                       ImageLoader::hash(char const*)
0.0ms    0.0%,0, ,                ImageLoader::recursiveLoadLibraries(ImageLoader::LinkContext const&, bool, ImageLoader::RPathChain const&)
0.0ms    0.0%,0, ,                 ImageLoader::recursiveLoadLibraries(ImageLoader::LinkContext const&, bool, ImageLoader::RPathChain const&)
0.0ms    0.0%,0, ,                  ImageLoader::recursiveLoadLibraries(ImageLoader::LinkContext const&, bool, ImageLoader::RPathChain const&)
0.0ms    0.0%,0, ,                   ImageLoader::recursiveLoadLibraries(ImageLoader::LinkContext const&, bool, ImageLoader::RPathChain const&)
0.0ms    0.0%,0, ,                    ImageLoader::recursiveLoadLibraries(ImageLoader::LinkContext const&, bool, ImageLoader::RPathChain const&)
0.0ms    0.0%,0, ,                     ImageLoader::recursiveLoadLibraries(ImageLoader::LinkContext const&, bool, ImageLoader::RPathChain const&)
0.0ms    0.0%,0, ,                      ImageLoader::recursiveLoadLibraries(ImageLoader::LinkContext const&, bool, ImageLoader::RPathChain const&)
0.0ms    0.0%,0, ,                       dyld::libraryLocator(char const*, bool, char const*, ImageLoader::RPathChain const*)
0.0ms    0.0%,0, ,                        dyld::load(char const*, dyld::LoadContext const&)
0.0ms    0.0%,0, ,                         dyld::loadPhase0(char const*, char const*, dyld::LoadContext const&, std::__1::vector<char const*, std::__1::allocator<char const*> >*)
0.0ms    0.0%,0, ,                          dyld::loadPhase1(char const*, char const*, dyld::LoadContext const&, std::__1::vector<char const*, std::__1::allocator<char const*> >*)
0.0ms    0.0%,0, ,                           dyld::loadPhase3(char const*, char const*, dyld::LoadContext const&, std::__1::vector<char const*, std::__1::allocator<char const*> >*)
0.0ms    0.0%,0, ,                            dyld::loadPhase4(char const*, char const*, dyld::LoadContext const&, std::__1::vector<char const*, std::__1::allocator<char const*> >*)
0.0ms    0.0%,0, ,                             dyld::loadPhase5(char const*, char const*, dyld::LoadContext const&, std::__1::vector<char const*, std::__1::allocator<char const*> >*)
0.0ms    0.0%,0.04, ,                              strcmp
0.0ms    0.0%,0, ,     dyld::registerDOFs(std::__1::vector<ImageLoader::DOFInfo, std::__1::allocator<ImageLoader::DOFInfo> > const&)
0.0ms    0.0%,0, ,      strlcpy
0.0ms    0.0%,0.04, ,       strlen
0.0ms    0.0%,0.04, ,     mach_absolute_time
0.0ms    0.0%,0, ,     ImageLoader::recursiveGetDOFSections(ImageLoader::LinkContext const&, std::__1::vector<ImageLoader::DOFInfo, std::__1::allocator<ImageLoader::DOFInfo> >&)
0.0ms    0.0%,0, ,      ImageLoader::recursiveGetDOFSections(ImageLoader::LinkContext const&, std::__1::vector<ImageLoader::DOFInfo, std::__1::allocator<ImageLoader::DOFInfo> >&)
0.0ms    0.0%,0, ,       ImageLoader::recursiveGetDOFSections(ImageLoader::LinkContext const&, std::__1::vector<ImageLoader::DOFInfo, std::__1::allocator<ImageLoader::DOFInfo> >&)
0.0ms    0.0%,0, ,        ImageLoader::recursiveGetDOFSections(ImageLoader::LinkContext const&, std::__1::vector<ImageLoader::DOFInfo, std::__1::allocator<ImageLoader::DOFInfo> >&)
0.0ms    0.0%,0, ,         ImageLoader::recursiveGetDOFSections(ImageLoader::LinkContext const&, std::__1::vector<ImageLoader::DOFInfo, std::__1::allocator<ImageLoader::DOFInfo> >&)
0.0ms    0.0%,0, ,          ImageLoader::recursiveGetDOFSections(ImageLoader::LinkContext const&, std::__1::vector<ImageLoader::DOFInfo, std::__1::allocator<ImageLoader::DOFInfo> >&)
0.0ms    0.0%,0, ,           ImageLoader::recursiveGetDOFSections(ImageLoader::LinkContext const&, std::__1::vector<ImageLoader::DOFInfo, std::__1::allocator<ImageLoader::DOFInfo> >&)
0.0ms    0.0%,0, ,            ImageLoader::recursiveGetDOFSections(ImageLoader::LinkContext const&, std::__1::vector<ImageLoader::DOFInfo, std::__1::allocator<ImageLoader::DOFInfo> >&)
0.0ms    0.0%,0, ,             ImageLoader::recursiveGetDOFSections(ImageLoader::LinkContext const&, std::__1::vector<ImageLoader::DOFInfo, std::__1::allocator<ImageLoader::DOFInfo> >&)
0.0ms    0.0%,0, ,              ImageLoader::recursiveGetDOFSections(ImageLoader::LinkContext const&, std::__1::vector<ImageLoader::DOFInfo, std::__1::allocator<ImageLoader::DOFInfo> >&)
0.0ms    0.0%,0, ,               ImageLoaderMachO::doGetDOFSections(ImageLoader::LinkContext const&, std::__1::vector<ImageLoader::DOFInfo, std::__1::allocator<ImageLoader::DOFInfo> >&)
0.0ms    0.0%,0, ,                ImageLoader::getShortName() const
0.0ms    0.0%,0.04, ,                 strrchr
0.0ms    0.0%,0, ,     ImageLoader::recursiveBind(ImageLoader::LinkContext const&, bool, bool)
0.0ms    0.0%,0, ,      ImageLoader::recursiveBind(ImageLoader::LinkContext const&, bool, bool)
0.0ms    0.0%,0, ,       ImageLoader::recursiveBind(ImageLoader::LinkContext const&, bool, bool)
0.0ms    0.0%,0, ,        ImageLoader::recursiveBind(ImageLoader::LinkContext const&, bool, bool)
0.0ms    0.0%,0, ,         ImageLoader::recursiveBind(ImageLoader::LinkContext const&, bool, bool)
0.0ms    0.0%,0, ,          ImageLoader::recursiveBind(ImageLoader::LinkContext const&, bool, bool)
0.0ms    0.0%,0, ,           ImageLoaderMachOCompressed::doBind(ImageLoader::LinkContext const&, bool)
0.0ms    0.0%,0.04, ,            ImageLoaderMachO::setupLazyPointerHandler(ImageLoader::LinkContext const&)
0.5ms    0.0%,0, ,   dyld::initializeMainExecutable()
0.5ms    0.0%,0, ,    ImageLoader::runInitializers(ImageLoader::LinkContext const&, ImageLoader::InitializerTimingList&)
0.5ms    0.0%,0, ,     ImageLoader::processInitializers(ImageLoader::LinkContext const&, unsigned int, ImageLoader::InitializerTimingList&, ImageLoader::UninitedUpwards&)
0.4ms    0.0%,0, ,      ImageLoader::recursiveInitialization(ImageLoader::LinkContext const&, unsigned int, ImageLoader::InitializerTimingList&, ImageLoader::UninitedUpwards&)
